Date;Open;High;Low;Close;Volume;Adj Close;Y_t
5-11-2001;1087.19995;1106.71997;1087.19995;1102.83997;1267700000;1102.83997;-0.6263
2-11-2001;1084.09998;1089.63;1075.57996;1087.19995;1121900000;1087.19995;-0.6203
1-11-2001;1059.78003;1085.60999;1054.31006;1084.09998;1317400000;1084.09998;-0.1240
31-10-2001;1059.79004;1074.79004;1057.55005;1059.78003;1352500000;1059.78003;-0.9854
30-10-2001;1078.30005;1078.30005;1053.60999;1059.79004;1297400000;1059.79004;0.0004
29-10-2001;1104.60999;1104.60999;1078.30005;1078.30005;1106100000;1078.30005;0.7520
26-10-2001;1100.08997;1110.60999;1094.23999;1104.60999;1244500000;1104.60999;1.0469
25-10-2001;1085.19995;1100.08997;1065.64001;1100.08997;1364400000;1100.08997;-0.1781
24-10-2001;1084.78003;1090.26001;1079.97998;1085.19995;1336200000;1085.19995;-0.5918
23-10-2001;1089.90002;1098.98999;1081.53003;1084.78003;1317300000;1084.78003;-0.0168
22-10-2001;1073.47998;1090.56995;1070.79004;1089.90002;1105700000;1089.90002;0.2045
19-10-2001;1068.60999;1075.52002;1057.23999;1073.47998;1294900000;1073.47998;-0.6593
18-10-2001;1077.08997;1077.93994;1064.54004;1068.60999;1262900000;1068.60999;-0.1975
17-10-2001;1097.54004;1107.12;1076.56995;1077.08997;1452200000;1077.08997;0.3433
16-10-2001;1089.97998;1101.66003;1087.13;1097.54004;1210500000;1097.54004;0.8168
15-10-2001;1091.65002;1091.65002;1078.18994;1089.97998;1024700000;1089.97998;-0.3002
12-10-2001;1097.43005;1097.43005;1072.15002;1091.65002;1331400000;1091.65002;0.0665
11-10-2001;1080.98999;1099.16003;1080.98999;1097.43005;1704580000;1097.43005;0.2293
10-10-2001;1056.75;1081.62;1052.76001;1080.98999;1312400000;1080.98999;-0.6555
9-10-2001;1062.43994;1063.37;1053.82996;1056.75;1227800000;1056.75;-0.9849
8-10-2001;1071.37;1071.37;1056.88;1062.43994;979000000;1062.43994;0.2332
5-10-2001;1069.62;1072.34998;1053.5;1071.38;1301700000;1071.38;0.3639
4-10-2001;1072.28003;1084.12;1067.81995;1069.63;1609100000;1069.63;-0.0710
3-10-2001;1051.32996;1075.38;1041.47998;1072.28003;1650600000;1072.28003;0.1075
2-10-2001;1038.55005;1051.32996;1034.46997;1051.32996;1289800000;1051.32996;-0.8569
1-10-2001;1040.93994;1040.93994;1026.76001;1038.55005;1175600000;1038.55005;-0.5312
28-9-2001;1018.60999;1040.93994;1018.60999;1040.93994;1631500000;1040.93994;0.0998
27-9-2001;1007.03998;1018.91998;998.23999;1018.60999;1467000000;1018.60999;-0.9418
26-9-2001;1012.27002;1020.28998;1002.62;1007.03998;1519100000;1007.03998;-0.4961
25-9-2001;1003.45001;1017.14001;998.33002;1012.27002;1613800000;1012.27002;0.2250
24-9-2001;965.79999;1008.44;965.79999;1003.45001;1746600000;1003.45001;-0.3801
21-9-2001;984.53998;984.53998;944.75;965.79999;2317300000;965.79999;-1.6609
20-9-2001;1016.09998;1016.09998;984.48999;984.53998;2004800000;984.53998;0.8346
19-9-2001;1032.73999;1038.91003;984.62;1016.09998;2120550000;1016.09998;1.3703
18-9-2001;1038.77002;1046.42004;1029.25;1032.73999;1650410000;1032.73999;0.7055
17-9-2001;1092.54004;1092.54004;1037.45996;1038.77002;2330830000;1038.77002;0.2528
10-9-2001;1085.78003;1096.93994;1073.15002;1092.54004;1276600000;1092.54004;2.1918
7-9-2001;1106.40002;1106.40002;1082.12;1085.78003;1424300000;1085.78003;-0.2696
6-9-2001;1131.73999;1131.73999;1105.82996;1106.40002;1359700000;1106.40002;0.8170
5-9-2001;1132.93994;1135.52002;1114.85999;1131.73999;1384500000;1131.73999;0.9834
4-9-2001;1133.57996;1155.40002;1129.06006;1132.93994;1178300000;1132.93994;0.0460
31-8-2001;1129.03003;1141.82996;1126.38;1133.57996;920100000;1133.57996;0.0245
30-8-2001;1148.59998;1151.75;1124.87;1129.03003;1157000000;1129.03003;-0.1747
29-8-2001;1161.51001;1166.96997;1147.38;1148.56006;963700000;1148.56006;0.7448
28-8-2001;1179.20996;1179.66003;1161.17004;1161.51001;987100000;1161.51001;0.4869
27-8-2001;1184.93005;1186.84998;1178.06995;1179.20996;842600000;1179.20996;0.6568
24-8-2001;1162.08997;1185.15002;1162.08997;1184.93005;1043600000;1184.93005;0.2102
23-8-2001;1165.31006;1169.85999;1160.95996;1162.08997;986200000;1162.08997;-0.8453
22-8-2001;1157.26001;1168.56006;1153.33997;1165.31006;1110800000;1165.31006;0.1202
21-8-2001;1171.41003;1179.84998;1156.56006;1157.26001;1041600000;1157.26001;-0.3011
20-8-2001;1161.96997;1171.41003;1160.93994;1171.41003;897100000;1171.41003;0.5278
17-8-2001;1181.66003;1181.66003;1156.06995;1161.96997;974300000;1161.96997;-0.3514
16-8-2001;1178.02002;1181.80005;1166.07996;1181.66003;1055400000;1181.66003;0.7298
15-8-2001;1186.72998;1191.20996;1177.60999;1178.02002;1065600000;1178.02002;-0.1340
14-8-2001;1191.29004;1198.79004;1184.26001;1186.72998;964600000;1186.72998;0.3199
13-8-2001;1190.16003;1193.81995;1185.12;1191.29004;837600000;1191.29004;0.1666
10-8-2001;1183.43005;1193.32996;1169.55005;1190.16003;960900000;1190.16003;-0.0412
